OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170909
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2017 250  4 14    0.69   -6.17    5.52  -557.6  10.90   -70   138    14    27
2017 250  4 15    0.58   -4.92    1.67  -562.5  11.47   -69   130    13    28
2017 250  4 16    1.12   -6.73    2.42  -560.5  11.41   -71   142    13    27
2017 250  4 17    1.35   -6.56    3.37  -557.2  11.20   -87   144    13    27
2017 250  4 18    1.29   -6.60    4.18  -552.6  11.12   -99   143    13    27
2017 250  4 19    1.76   -6.70    3.65  -550.4  11.34   -99   146    13    26
2017 250  4 20    1.37   -6.77    2.69  -550.8  11.45   -98   142    13    25
2017 250  4 21    1.83   -6.78    1.84  -551.2  11.52   -88   139    13    24
2017 250  4 22    4.07  -10.04   -1.36  -551.0  11.38   -89   136    12    25
2017 250  4 23    4.04  -10.42   -0.90 99999.9 999.99   -86   133    12    24
2017 250  4 24    3.91  -11.71    0.86 99999.9 999.99   -83   125    11    25
2017 250  4 25    3.80  -11.62    0.86 99999.9 999.99   -82   122    11    24
2017 250  4 26    3.41  -11.60    0.51 99999.9 999.99   -79   128    10    23
2017 250  4 27    3.77  -11.22    1.41 99999.9 999.99   -79   121    10    26
2017 250  4 28    4.23  -11.53    4.54 99999.9 999.99   -82   118     9    24
2017 250  4 29    2.26   -9.45    6.06 99999.9 999.99   -83   107     9    23
2017 250  4 30    2.15   -8.76    5.13 99999.9 999.99   -92    99    10    21
2017 250  4 31    1.33   -7.96    4.86  -563.7  11.45  -106    97    10    19
2017 250  4 32    0.78   -7.85    5.96  -564.8  11.60  -115    99    11    19
2017 250  4 33    1.09   -6.71    4.19  -566.8  12.08  -111    96    12    18
2017 250  4 34    0.51   -6.27    5.07  -559.4  12.08  -111    92    13    18
2017 250  4 35   -0.93   -5.74    8.05  -570.8  12.30  -106   101    14    18
2017 250  4 36   -0.02   -5.37    4.76  -570.6  12.28   -86   104    15    16
2017 250  4 37   -1.99   -5.60    9.18  -565.1  11.83   -74   107    16    17
2017 250  4 38   -1.40   -4.69    3.31  -566.2  11.92   -64   112    16    18
2017 250  4 39   -3.00   -3.54    9.70  -568.9  12.15   -50   111    17    20
2017 250  4 40    0.41   -4.31   -1.15  -559.0  12.41   -45   112    17    17
2017 250  4 41   -2.58   -3.78    9.65  -559.0  12.41   -25   120    18    18
2017 250  4 42    0.92   -4.55   -1.02 99999.9 999.99   -19   129    18    15
2017 250  4 43   -2.30   -3.23    9.10  -562.0  11.40   -29   131    19    15
2017 250  4 44   -2.98   -1.93    7.92  -562.0  11.40   -29   124    19    14
2017 250  4 45   -0.56   -4.33    1.04 99999.9 999.99   -39   130    18    13
2017 250  4 46   -2.73   -1.88    8.19  -569.4  12.99   -68   135    17    13
2017 250  4 47    2.68   -5.76   -5.83  -569.4  12.99   -56   135    17    13
2017 250  4 48    4.16   -5.43   -6.31 99999.9 999.99   -43   135    17    11
2017 250  4 49   -0.58   -3.50    1.76 99999.9 999.99   -41   147    17    11
2017 250  4 50   -1.70   -3.04    3.41  -547.7  11.54   -56   150    17    10
2017 250  4 51   -4.22    0.00    5.09  -547.7  11.54   -64   158    17    10
2017 250  4 52   -1.95   -1.30    1.51  -567.9  12.18   -67   163    17    11
2017 250  4 53   -2.55    1.71    2.31  -567.9  12.18   -90   172    17    12
2017 250  4 54   -3.39    1.83    2.63  -567.9  12.18  -130   187    17    14
2017 250  4 55   -2.88   -0.25    1.49 99999.9 999.99  -163   195    18    16
2017 250  4 56   -3.37    2.35    2.50  -569.1  11.91  -176   207    19    19
2017 250  4 57   -0.04   -2.15   -0.82  -564.9  11.92  -185   234    19    22
2017 250  4 58   -2.77   -1.17   -0.65  -558.8  11.98  -177   243    20    24
2017 250  4 59   -3.71   -1.91   -0.73  -561.9  12.22  -197   265    20    25
2017 250  5  0   -5.58    0.39   -0.22  -564.3  11.90  -206   274    19    25
2017 250  5  1   -1.35   -1.43   -2.82  -568.0  11.68  -199   296    19    28
2017 250  5  2   -3.49   -0.89   -1.51  -567.7  11.71  -187   322    19    33
2017 250  5  3   -4.76    0.75   -1.04  -571.1  11.78  -199   336    18    34
2017 250  5  4    0.55   -3.26   -3.52 99999.9 999.99  -216   353    19    30
2017 250  5  5    0.69   -3.25   -3.55  -557.3  11.85  -284   369    20    32
2017 250  5  6    3.96   -5.14   -5.26  -550.6  11.88  -295   398    20    35
2017 250  5  7    3.92   -6.80   -4.32  -553.7  11.70  -282   400    18    36
2017 250  5  8    5.93   -7.81   -3.69  -554.4  12.20  -272   426    16    36
2017 250  5  9    3.81   -9.29   -1.39  -553.1  11.52  -265   427    15    33
2017 250  5 10    5.41   -9.24    0.05  -554.8  11.11  -276   425    15    33
2017 250  5 11    4.55   -8.57   -0.54  -555.3  11.71  -292   425    15    32
2017 250  5 12    5.03   -9.02    0.80  -556.5  11.80  -292   435    16    31
2017 250  5 13    4.22   -7.18   -1.11  -557.3  11.77  -300   437    17    34
2017 250  5 14    3.55   -7.41   -1.47  -553.2  11.12  -302   446    16    33
2017 250  5 15    3.14   -7.35   -1.65  -547.4  11.88  -289   446    17    32
2017 250  5 16    3.10   -7.32   -1.80  -549.0  12.24  -287   440    16    28
2017 250  5 17    2.93   -7.37   -1.87  -548.7  12.41  -278   425    16    29
2017 250  5 18    4.40   -8.99    1.61  -548.1  12.47  -285   410    15    26
2017 250  5 19    4.89   -9.10    2.00  -547.0  11.43  -288   424    14    23
2017 250  5 20    4.51   -9.42    1.49  -547.0  11.27  -296   429    14    20
2017 250  5 21    3.80   -9.06    1.02  -542.4  11.72  -272   438    13    20
